재질,외경_mm,두께_mm,길이_m,무게_kg,생산시간_분,생산단가_원
Stainless Steel 316,50.8,3.91,12.041,55.098,70.13,315638
Copper,25.4,1.65,5.95,6.557,28.22,83340
Carbon Steel,38.1,1.65,8.999,13.292,37.62,23207
Carbon Steel,203.2,7.04,12.032,409.727,66.83,504053
Stainless Steel 304,101.6,2.11,5.959,32.128,39.75,150743
Stainless Steel 304,76.2,3.05,6.013,33.628,40.23,158043
Galvanized Steel,25.4,1.65,6.047,5.843,27.84,13766
Stainless Steel 304,203.2,2.77,5.992,83.432,44.53,384201
Stainless Steel 316,254.0,4.78,11.996,358.349,94.23,1988290
Stainless Steel 304,38.1,1.65,6.011,9.125,35.35,46760
Stainless Steel 304,38.1,3.56,2.992,9.201,24.19,45416
Copper,50.8,3.91,3.044,15.815,28.02,193980
Carbon Steel,38.1,3.56,8.962,27.658,41.69,40936
Stainless Steel 316,76.2,5.16,9.017,83.936,62.88,471941
Carbon Steel,101.6,5.74,8.962,119.242,50.4,152440
Carbon Steel,50.8,2.77,3.007,9.823,18.9,15058
Galvanized Steel,50.8,3.91,9.038,40.133,44.5,67979
Carbon Steel,254.0,3.4,5.967,124.634,37.65,156312
Stainless Steel 316,38.1,3.56,5.974,18.297,45.48,109484
PVC,50.8,2.77,2.979,1.744,12.41,5770
Stainless Steel 304,152.4,6.35,6.022,139.532,48.96,636844
Carbon Steel,76.2,3.05,2.958,16.275,20.4,23539
PVC,38.1,3.56,3.033,1.67,12.54,6907
HDPE,25.4,3.38,3.048,0.673,12.21,3674
PVC,152.4,6.35,8.994,37.101,33.14,87559
Carbon Steel,203.2,3.96,3.005,59.125,28.11,76740
Galvanized Steel,76.2,3.05,5.978,32.542,32.0,54923
PVC,50.8,1.65,8.953,3.147,26.95,11342
Carbon Steel,203.2,3.96,11.993,233.225,63.01,292531
HDPE,152.4,2.77,2.966,3.738,15.27,9056
Galvanized Steel,38.1,2.77,8.966,21.5,42.72,39638
PVC,76.2,2.11,12.017,8.314,38.2,24940
HDPE,76.2,2.11,8.959,4.3,24.93,11561
Carbon Steel,25.4,2.77,12.019,18.737,48.41,31953
Stainless Steel 304,50.8,3.91,6.023,27.906,41.33,132848
Carbon Steel,38.1,3.56,2.997,8.99,19.38,14989
Stainless Steel 304,203.2,2.77,2.968,40.693,35.67,189474
Stainless Steel 304,38.1,2.77,8.978,22.115,53.31,108646
Carbon Steel,50.8,2.77,11.954,39.399,48.28,55974
Stainless Steel 304,76.2,5.16,8.964,82.49,55.42,380313
Carbon Steel,152.4,6.35,12.017,275.369,66.79,342290
Carbon Steel,25.4,1.65,5.959,5.696,24.17,12012
HDPE,50.8,1.65,3.01,0.719,11.83,3172
Stainless Steel 316,50.8,1.65,2.971,6.047,21.27,36960
Stainless Steel 316,152.4,3.4,6.044,76.229,48.02,427984
Stainless Steel 304,25.4,2.77,11.989,18.885,66.61,97308
HDPE,152.4,6.35,11.964,32.954,48.69,68404
Copper,101.6,3.05,5.989,51.015,40.1,620188
Stainless Steel 316,76.2,5.16,12.035,111.149,83.15,626461
Galvanized Steel,25.4,2.77,11.968,18.468,54.02,37767
Stainless Steel 304,50.8,2.77,9.043,30.511,53.72,146788
Copper,101.6,2.11,2.954,17.111,23.83,209106
Stainless Steel 316,203.2,2.77,2.979,41.666,36.16,236708
Stainless Steel 316,25.4,3.38,11.988,22.302,74.91,135584
Stainless Steel 316,254.0,8.56,11.987,633.331,108.52,3503087
Stainless Steel 316,152.4,3.4,2.956,37.797,36.71,214853
Carbon Steel,101.6,3.05,6.042,44.566,33.55,59531
Stainless Steel 304,38.1,1.65,3.018,4.565,20.77,24487
HDPE,101.6,2.11,9.026,5.69,27.73,14500
Carbon Steel,76.2,2.11,9.034,34.525,37.57,48720
Carbon Steel,254.0,3.4,11.98,250.92,65.93,312462
Stainless Steel 316,38.1,2.77,6.029,14.667,40.71,88017
HDPE,38.1,3.56,11.974,4.476,35.84,13715
HDPE,25.4,1.65,5.99,0.708,18.82,5211
Stainless Steel 304,76.2,5.16,5.979,54.57,46.88,254550
HDPE,152.4,6.35,6.049,16.667,30.62,35516
Copper,50.8,3.91,12.01,61.004,64.99,743924
Copper,25.4,1.65,6.007,6.575,35.73,85987
Stainless Steel 316,203.2,7.04,9.026,311.331,73.04,1725411
HDPE,25.4,1.65,5.987,0.694,18.09,4317
HDPE,152.4,2.77,9.001,11.226,29.29,25708
Galvanized Steel,203.2,3.96,3.042,58.782,31.87,93627
Carbon Steel,101.6,3.05,8.976,66.836,43.94,88337
Copper,76.2,2.11,11.952,51.623,61.61,630477
Carbon Steel,50.8,2.77,2.951,9.686,19.27,14682
Stainless Steel 304,25.4,2.77,8.983,14.17,51.69,73175
Carbon Steel,76.2,3.05,11.965,66.183,47.96,87824
PVC,38.1,3.56,6.018,3.154,20.72,10681
PVC,76.2,2.11,5.973,4.046,20.94,13229
Copper,50.8,1.65,3.03,6.822,19.78,85967
Copper,76.2,5.16,11.978,122.538,63.35,1482560
Stainless Steel 304,38.1,2.77,8.956,22.049,51.97,108894
Carbon Steel,25.4,3.38,11.955,21.877,51.83,36202
PVC,38.1,2.77,6.005,2.549,20.9,9541
Stainless Steel 304,76.2,2.11,12.039,47.826,60.49,226803
Copper,101.6,3.05,3.016,25.759,25.95,313193
Stainless Steel 304,50.8,2.77,2.965,9.909,23.73,48465
Copper,101.6,2.11,2.968,17.227,25.45,211885
Stainless Steel 304,38.1,3.56,2.977,9.334,25.0,46369
HDPE,304.8,4.78,3.023,13.08,24.44,28275
Carbon Steel,304.8,3.4,3.029,76.24,34.65,98748
Carbon Steel,25.4,3.38,2.962,5.552,17.41,9533
PVC,152.4,2.77,6.006,10.918,25.18,28272
Stainless Steel 304,38.1,3.56,12.031,37.99,69.63,182827
PVC,25.4,2.77,8.984,2.474,28.54,10764
Carbon Steel,50.8,1.65,9.047,18.056,36.42,28443
Galvanized Steel,38.1,3.56,12.016,36.46,56.83,63662
Carbon Steel,25.4,3.38,2.985,5.497,17.67,9959
HDPE,38.1,1.65,6.0,1.095,18.47,4616
Carbon Steel,152.4,2.77,2.966,30.526,22.23,40145
Copper,38.1,2.77,8.951,24.866,46.78,306931
PVC,25.4,1.65,8.959,1.529,22.76,8413
Carbon Steel,152.4,6.35,12.02,273.373,63.97,340028
HDPE,152.4,2.77,5.952,7.321,23.76,17183
Stainless Steel 304,76.2,3.05,3.009,16.852,25.65,79848
Stainless Steel 304,25.4,1.65,5.958,5.83,33.03,32494
Stainless Steel 316,101.6,2.11,8.974,47.472,54.15,270881
Carbon Steel,25.4,1.65,6.012,5.849,23.63,12445
Carbon Steel,38.1,2.77,8.952,21.524,38.56,32925
Stainless Steel 304,76.2,5.16,11.979,109.169,75.39,503432
Copper,25.4,2.77,8.958,15.915,46.39,198827
Stainless Steel 316,101.6,5.74,8.975,122.966,64.24,688419
Stainless Steel 316,25.4,2.77,2.976,4.793,23.35,30480
Carbon Steel,203.2,7.04,6.025,204.946,47.56,254699
Carbon Steel,25.4,1.65,12.033,11.679,38.82,21336
Copper,38.1,3.56,2.983,10.199,23.21,127292
Stainless Steel 304,38.1,3.56,12.039,36.783,68.23,178038
Stainless Steel 304,101.6,3.05,9.03,68.658,55.01,318327
Carbon Steel,101.6,5.74,12.048,165.62,56.59,208865
Stainless Steel 304,38.1,1.65,12.002,18.415,63.49,94692
Copper,38.1,1.65,8.992,15.178,40.01,189451
Stainless Steel 304,25.4,1.65,8.987,9.051,48.98,50032
Stainless Steel 304,50.8,2.77,12.025,40.191,65.95,192375
Stainless Steel 304,38.1,2.77,3.007,7.28,22.58,35951
Carbon Steel,101.6,3.05,11.958,88.695,54.76,116638
Stainless Steel 304,152.4,3.4,9.047,114.514,62.76,526329
Stainless Steel 316,25.4,3.38,8.996,16.601,59.11,101526
Carbon Steel,101.6,3.05,6.038,45.209,33.78,60419
Carbon Steel,38.1,1.65,2.992,4.47,15.17,8006
Stainless Steel 304,101.6,3.05,6.037,46.198,39.69,215290
Stainless Steel 316,50.8,1.65,2.97,6.085,19.29,36457
Stainless Steel 316,25.4,2.77,9.021,13.962,52.72,86639
PVC,76.2,2.11,6.042,4.092,21.8,12864
Stainless Steel 304,50.8,2.77,9.033,29.936,54.16,145271
Stainless Steel 304,50.8,3.91,6.003,27.429,41.24,130309
Carbon Steel,76.2,5.16,12.016,108.534,54.22,140343
Copper,25.4,1.65,9.019,9.82,45.77,126242
Stainless Steel 316,76.2,2.11,6.045,23.859,40.37,138673
Carbon Steel,304.8,3.4,3.045,76.617,32.94,97719
HDPE,38.1,2.77,12.042,3.444,34.89,12077
Carbon Steel,50.8,1.65,9.021,18.071,35.23,28178
Carbon Steel,25.4,1.65,12.044,11.714,44.81,22022
Stainless Steel 304,25.4,2.77,11.982,19.479,57.35,98466
Carbon Steel,76.2,5.16,2.974,26.958,25.24,36348
HDPE,50.8,1.65,6.021,1.455,18.37,6381
Carbon Steel,38.1,1.65,11.977,17.966,45.69,29354
Copper,101.6,5.74,8.994,139.734,58.46,1687507
Stainless Steel 304,152.4,2.77,6.047,63.904,46.62,296140
Stainless Steel 304,25.4,2.77,6.026,9.712,37.83,49921
Carbon Steel,304.8,9.53,12.024,827.296,76.71,1006529
HDPE,25.4,2.77,3.016,0.563,11.96,3077
Copper,38.1,3.56,6.018,20.803,33.4,254862
Copper,38.1,3.56,2.958,10.117,23.51,126404
Carbon Steel,25.4,2.77,9.024,13.866,41.92,24567
Stainless Steel 316,101.6,2.11,12.049,62.864,72.9,359204
Stainless Steel 304,101.6,2.11,11.952,62.276,68.9,292506
Stainless Steel 304,25.4,1.65,12.006,11.779,63.67,63899
HDPE,76.2,3.05,2.961,1.964,14.57,6301
HDPE,50.8,3.91,3.015,1.666,14.2,6339
Carbon Steel,25.4,2.77,8.972,14.133,39.21,24265
Stainless Steel 304,76.2,3.05,6.019,33.112,40.2,155888
HDPE,50.8,1.65,5.955,1.427,18.01,5880
Carbon Steel,38.1,3.56,6.05,18.634,28.65,27315
Stainless Steel 304,38.1,2.77,8.997,22.288,53.42,109059
Stainless Steel 316,76.2,3.05,12.02,67.997,71.77,386183
Stainless Steel 316,25.4,1.65,9.019,8.898,53.04,59442
Carbon Steel,101.6,2.11,2.986,15.643,21.49,22240
Galvanized Steel,304.8,9.53,12.005,820.983,86.45,1246971
Stainless Steel 304,38.1,1.65,2.958,4.53,20.05,24316
Carbon Steel,25.4,1.65,6.013,5.748,27.99,12790
Stainless Steel 316,76.2,5.16,2.956,26.745,33.53,153133
Carbon Steel,50.8,2.77,11.96,39.137,55.09,57506
PVC,38.1,3.56,5.989,3.305,20.57,11730
Carbon Steel,304.8,3.4,2.961,75.72,33.77,98051
Carbon Steel,38.1,1.65,8.989,13.333,33.37,22988
Stainless Steel 316,50.8,1.65,11.993,24.831,62.93,148060
Carbon Steel,50.8,2.77,5.964,19.734,30.28,29057
PVC,304.8,3.4,12.0,53.981,48.05,127955
Stainless Steel 304,203.2,3.96,11.978,236.323,75.54,1076214
Stainless Steel 316,50.8,1.65,12.03,24.549,60.54,145593
PVC,25.4,3.38,8.99,2.94,29.24,11953
Carbon Steel,50.8,3.91,12.001,53.607,53.12,73257
Stainless Steel 316,203.2,3.96,2.998,60.797,44.56,342130
Stainless Steel 304,101.6,3.05,11.98,89.112,71.0,413974
Galvanized Steel,76.2,3.05,6.036,32.821,30.6,54615
Stainless Steel 316,50.8,1.65,3.046,6.272,23.32,38271
Copper,101.6,2.11,12.034,71.996,64.47,874956
Carbon Steel,152.4,2.77,8.965,91.582,43.96,117217
Galvanized Steel,203.2,3.96,12.016,234.546,65.76,364457
Galvanized Steel,203.2,2.77,11.977,161.454,61.55,252907
Carbon Steel,25.4,2.77,5.955,9.043,24.78,15196
Copper,25.4,3.38,2.959,6.114,22.78,77358
PVC,254.0,4.78,9.026,46.537,38.67,110164
PVC,25.4,1.65,5.997,1.019,17.16,5221
Galvanized Steel,76.2,5.16,9.031,80.446,49.03,128811
Stainless Steel 304,76.2,5.16,11.961,109.854,78.06,508010
Carbon Steel,304.8,3.4,2.963,74.903,29.41,95793
Stainless Steel 316,50.8,3.91,11.963,55.622,73.03,318601
HDPE,101.6,5.74,11.997,19.887,39.13,42336
Galvanized Steel,152.4,2.77,8.978,91.288,51.2,146686
Carbon Steel,203.2,2.77,11.959,165.112,62.06,208513
Stainless Steel 304,76.2,2.11,12.027,47.344,72.42,225933
Carbon Steel,203.2,2.77,12.032,162.039,62.91,205625
Stainless Steel 316,25.4,1.65,5.993,5.824,38.18,39164
Stainless Steel 304,50.8,2.77,6.01,20.151,37.23,97922
Carbon Steel,76.2,2.11,3.035,11.621,19.16,17253
Stainless Steel 304,38.1,2.77,5.966,14.698,34.87,72936
Galvanized Steel,76.2,2.11,2.974,11.239,21.12,20919
PVC,38.1,1.65,9.016,2.359,27.21,9956
Stainless Steel 304,25.4,3.38,6.03,11.24,42.09,59038
Stainless Steel 304,76.2,5.16,12.044,111.118,74.71,512807
Stainless Steel 304,76.2,3.05,2.985,16.706,25.89,78764
HDPE,25.4,3.38,3.018,0.675,13.08,4400
Stainless Steel 316,101.6,5.74,12.039,168.582,82.68,941884
Stainless Steel 316,38.1,3.56,2.964,9.214,26.68,55786
Carbon Steel,304.8,3.4,6.024,151.734,40.85,189314
Carbon Steel,76.2,5.16,9.01,81.25,42.44,103834
Carbon Steel,50.8,2.77,6.046,19.91,28.49,29241
Carbon Steel,25.4,3.38,11.97,21.823,48.14,34495
Carbon Steel,76.2,2.11,11.967,45.961,49.91,63756
HDPE,25.4,3.38,3.015,0.676,13.16,4288
Galvanized Steel,101.6,5.74,12.026,160.296,72.72,252767
Stainless Steel 316,25.4,1.65,5.991,5.883,35.59,38202
Copper,152.4,2.77,2.997,35.289,31.71,427699
Stainless Steel 316,76.2,3.05,5.993,33.144,45.42,189426
Stainless Steel 304,38.1,1.65,12.001,17.932,55.12,90847
Galvanized Steel,76.2,3.05,6.007,32.816,35.75,55271
HDPE,25.4,1.65,6.014,0.698,18.45,4133
Galvanized Steel,50.8,3.91,2.951,13.221,22.18,23614
Carbon Steel,38.1,2.77,5.965,14.503,27.66,22220
Copper,76.2,2.11,11.958,53.018,63.8,645982
Carbon Steel,50.8,3.91,11.954,53.402,44.96,72279
HDPE,38.1,2.77,2.97,0.886,13.49,3566
Stainless Steel 304,203.2,7.04,5.999,209.622,62.49,954706
Carbon Steel,25.4,3.38,6.003,11.072,28.76,18265
Copper,152.4,3.4,3.001,43.404,28.76,526198
HDPE,38.1,2.77,9.008,2.658,27.93,9308
Carbon Steel,25.4,3.38,6.002,10.849,27.76,17016
Stainless Steel 304,101.6,5.74,12.025,166.534,79.55,764015
Carbon Steel,304.8,9.53,12.022,840.003,83.42,1022508
Carbon Steel,101.6,2.11,3.039,15.699,19.04,23281
Stainless Steel 304,25.4,1.65,6.021,5.898,32.99,31978
HDPE,101.6,5.74,3.039,4.963,18.85,11673
PVC,25.4,3.38,6.007,1.96,18.03,6756
Carbon Steel,25.4,3.38,2.967,5.518,19.36,9872
Stainless Steel 316,25.4,2.77,8.974,14.114,52.06,86672
Stainless Steel 304,25.4,3.38,6.037,11.307,40.63,58684
HDPE,101.6,5.74,6.015,9.927,25.19,22820
HDPE,50.8,3.91,12.048,6.635,36.88,18749
Stainless Steel 316,50.8,1.65,2.983,6.118,22.99,37021
Carbon Steel,38.1,3.56,12.008,36.101,56.66,52755
Copper,25.4,2.77,6.017,10.626,35.39,134076
Carbon Steel,152.4,2.77,2.978,29.979,24.16,40186
HDPE,101.6,2.11,12.037,7.602,35.77,19385
PVC,101.6,5.74,6.034,14.659,25.26,36893
HDPE,25.4,3.38,3.002,0.658,11.46,3286
Carbon Steel,38.1,2.77,6.015,14.465,28.45,22685
Galvanized Steel,152.4,3.4,6.001,74.419,35.49,118462
Stainless Steel 316,25.4,2.77,8.983,14.24,54.76,88556
Carbon Steel,101.6,5.74,2.972,40.278,25.26,52707
Stainless Steel 316,101.6,2.11,8.96,47.109,58.12,268694
Stainless Steel 304,76.2,3.05,9.049,50.283,54.11,235554
Stainless Steel 316,254.0,3.4,12.004,252.532,88.08,1404667
Galvanized Steel,152.4,6.35,5.978,137.991,44.38,215739
Carbon Steel,25.4,3.38,12.046,21.898,46.34,34796
Stainless Steel 316,304.8,4.78,5.978,215.229,64.16,1195560
HDPE,38.1,3.56,8.995,3.336,27.15,11154
Carbon Steel,38.1,1.65,6.039,8.916,23.57,15435
Carbon Steel,38.1,1.65,12.038,17.699,48.64,30079
Copper,101.6,5.74,6.018,92.677,42.77,1120123
Stainless Steel 304,50.8,3.91,11.998,55.529,74.7,263390
PVC,254.0,4.78,6.031,31.764,28.92,75417
Stainless Steel 304,25.4,1.65,9.018,8.905,45.96,48631
Carbon Steel,50.8,3.91,6.007,26.99,29.85,37862
Stainless Steel 316,50.8,2.77,3.033,10.163,24.61,60914
PVC,50.8,2.77,12.021,7.053,38.31,21744
Stainless Steel 304,152.4,6.35,5.989,139.603,51.04,636602
Stainless Steel 304,25.4,1.65,2.986,2.96,20.49,17193
Carbon Steel,50.8,2.77,9.034,29.883,38.63,42502
HDPE,50.8,1.65,11.999,2.917,31.63,11167
Carbon Steel,101.6,3.05,5.991,44.59,32.23,58725
Carbon Steel,50.8,2.77,11.968,39.162,51.77,56832
Stainless Steel 316,38.1,2.77,12.048,29.644,70.43,176037
Copper,25.4,3.38,11.971,24.898,68.84,310295
HDPE,101.6,2.11,9.001,5.645,29.85,15588
Copper,76.2,3.05,3.001,19.035,24.12,232402
Carbon Steel,76.2,3.05,8.975,49.764,40.36,67705
Stainless Steel 304,25.4,2.77,8.971,14.066,52.29,72828
Stainless Steel 304,25.4,3.38,5.989,11.317,42.01,58344
Stainless Steel 316,254.0,4.78,8.984,268.242,67.49,1487121
HDPE,152.4,6.35,6.008,16.398,31.71,34712
HDPE,101.6,3.05,6.023,5.375,22.91,13998
Stainless Steel 316,152.4,6.35,11.953,277.256,86.27,1539825
Stainless Steel 316,152.4,3.4,3.049,38.851,33.64,220183
Carbon Steel,25.4,3.38,9.043,16.41,39.25,26179
Carbon Steel,38.1,1.65,5.991,8.95,27.54,16556
Copper,101.6,2.11,3.005,17.779,26.51,217388
Stainless Steel 316,101.6,5.74,12.025,170.625,84.59,953673
Stainless Steel 316,25.4,1.65,8.971,8.788,48.73,57608
Stainless Steel 304,152.4,6.35,9.028,207.352,73.34,946157
Stainless Steel 304,50.8,3.91,11.997,55.665,71.3,262647
PVC,76.2,5.16,5.973,9.641,24.4,25502
Copper,25.4,3.38,9.019,18.685,45.8,231520
Stainless Steel 316,38.1,2.77,6.047,14.885,41.53,88899
Stainless Steel 304,50.8,2.77,8.956,29.364,49.46,141616
HDPE,50.8,1.65,9.016,2.177,24.36,7796
Carbon Steel,50.8,1.65,9.009,18.239,38.23,28639
Stainless Steel 304,203.2,7.04,6.01,209.289,57.55,952346
Stainless Steel 304,25.4,1.65,8.969,8.806,48.53,48570
Carbon Steel,76.2,2.11,2.978,11.34,16.76,16192
Galvanized Steel,101.6,2.11,2.957,15.318,22.29,27749
Stainless Steel 316,152.4,6.35,3.046,69.931,46.12,393580
Copper,25.4,3.38,11.994,24.707,60.67,306905
Stainless Steel 316,152.4,3.4,8.976,116.194,65.29,650852
HDPE,101.6,5.74,6.017,10.014,26.24,22881
Carbon Steel,152.4,6.35,6.02,140.465,40.1,175980
Carbon Steel,50.8,3.91,9.019,40.554,39.63,56328
PVC,101.6,2.11,5.969,5.541,21.92,16021
Stainless Steel 304,38.1,3.56,9.031,28.246,51.85,135824
Stainless Steel 304,50.8,2.77,12.03,40.153,71.23,193036
Carbon Steel,254.0,8.56,8.995,465.117,60.42,569109
Stainless Steel 316,76.2,5.16,2.975,27.389,34.64,157032
Stainless Steel 316,101.6,5.74,9.012,123.497,68.27,691418
Carbon Steel,25.4,3.38,11.998,21.886,47.29,33761
Carbon Steel,25.4,1.65,9.045,8.755,37.03,16741
Copper,38.1,2.77,12.04,33.067,59.1,407320
Carbon Steel,50.8,2.77,9.04,29.839,38.78,42368
HDPE,101.6,3.05,3.0,2.692,15.42,7336
Copper,76.2,5.16,8.961,93.571,54.77,1132753
Stainless Steel 304,50.8,2.77,2.96,9.939,23.12,48771
Carbon Steel,101.6,5.74,8.962,120.814,47.22,153152
Carbon Steel,38.1,1.65,5.961,8.892,26.21,16094
Galvanized Steel,25.4,1.65,9.008,8.701,41.69,19772
Stainless Steel 304,254.0,4.78,8.975,264.358,70.6,1202835
Stainless Steel 304,101.6,5.74,8.98,123.622,63.12,567517
Stainless Steel 316,38.1,3.56,11.952,36.758,67.73,213828
PVC,152.4,6.35,5.98,24.431,29.99,59843
Stainless Steel 304,25.4,2.77,9.032,14.308,49.89,72943
Carbon Steel,304.8,4.78,6.021,211.323,43.19,261534
Carbon Steel,50.8,1.65,9.04,17.986,35.95,27733
Carbon Steel,38.1,1.65,3.023,4.597,15.44,8568
Galvanized Steel,203.2,7.04,11.98,404.139,68.21,619565
PVC,152.4,2.77,8.957,16.575,33.4,43142
Carbon Steel,254.0,8.56,5.961,306.527,53.92,377919
Carbon Steel,76.2,3.05,11.982,66.344,48.72,87862
Carbon Steel,76.2,3.05,6.04,33.507,29.88,45709
Carbon Steel,25.4,2.77,2.955,4.583,16.33,8327
Carbon Steel,76.2,3.05,6.048,33.115,31.88,44438
Stainless Steel 304,76.2,3.05,11.983,68.439,63.63,319910
Stainless Steel 316,254.0,4.78,11.992,361.745,92.64,2006873
Stainless Steel 304,101.6,2.11,8.982,46.906,53.94,221172
Copper,152.4,3.4,9.036,127.332,55.85,1537865
Stainless Steel 316,101.6,2.11,3.021,15.95,27.42,92030
Carbon Steel,76.2,3.05,2.968,16.418,20.18,23261
Stainless Steel 304,304.8,4.78,3.013,108.689,48.3,498422
Stainless Steel 316,25.4,1.65,12.043,11.877,67.45,76416
Stainless Steel 316,101.6,3.05,3.047,22.946,28.2,131300
Stainless Steel 304,38.1,1.65,2.993,4.506,21.57,23746
Stainless Steel 304,25.4,2.77,6.015,9.67,36.52,50255
HDPE,38.1,3.56,11.986,4.42,34.03,14549
Stainless Steel 304,76.2,2.11,11.99,47.735,60.64,226037
PVC,101.6,2.11,6.05,5.497,19.29,15790
Stainless Steel 316,25.4,3.38,9.021,17.155,51.52,102993
Carbon Steel,76.2,3.05,2.997,16.482,19.61,23371
PVC,76.2,3.05,12.003,11.77,37.17,32201
Stainless Steel 304,76.2,5.16,2.964,27.019,35.56,127620
Stainless Steel 316,25.4,3.38,12.002,22.277,73.3,135440
Carbon Steel,152.4,6.35,8.995,206.168,52.96,256910
Stainless Steel 304,50.8,3.91,9.041,41.978,57.57,200037
Copper,304.8,4.78,6.025,240.414,61.57,2895598
PVC,50.8,1.65,2.995,1.084,11.43,3699
PVC,25.4,1.65,2.952,0.522,10.76,3474
Stainless Steel 304,25.4,3.38,9.001,16.968,48.42,84707
Carbon Steel,38.1,2.77,2.998,7.103,18.92,11925
Stainless Steel 304,25.4,1.65,9.01,8.948,49.15,49214
PVC,152.4,2.77,6.045,10.821,25.68,28527
Stainless Steel 304,25.4,1.65,6.007,5.825,32.13,32086
Stainless Steel 304,76.2,3.05,3.001,16.832,26.94,81102
Galvanized Steel,152.4,2.77,5.959,59.875,36.09,96193
Stainless Steel 304,38.1,2.77,9.034,22.118,48.68,107851
Stainless Steel 304,38.1,2.77,5.992,14.585,36.79,71751
Carbon Steel,38.1,1.65,11.962,17.9,48.66,31037
PVC,152.4,3.4,12.046,27.181,40.33,65888
Carbon Steel,152.4,6.35,12.04,277.63,61.81,343975
Carbon Steel,25.4,1.65,12.05,11.617,47.36,22402
Stainless Steel 316,50.8,3.91,5.986,28.275,42.19,163289
Carbon Steel,76.2,3.05,5.962,32.871,30.49,45086
HDPE,76.2,2.11,12.047,5.667,34.51,15757
Copper,101.6,5.74,12.031,188.474,71.85,2275156
Carbon Steel,76.2,2.11,8.978,34.399,36.56,47173
Stainless Steel 316,152.4,2.77,9.047,95.125,59.8,533920
Carbon Steel,38.1,1.65,6.034,8.998,26.76,14894
Carbon Steel,76.2,5.16,8.989,82.881,46.0,108018
HDPE,76.2,2.11,12.024,5.638,32.62,15476
Stainless Steel 304,38.1,1.65,3.032,4.569,18.33,23850
Stainless Steel 316,101.6,2.11,3.005,16.009,27.67,92480
Stainless Steel 304,76.2,2.11,11.957,47.059,63.35,224128
Carbon Steel,152.4,2.77,11.983,123.476,57.67,158567
Stainless Steel 316,50.8,3.91,12.035,55.121,73.69,316316
Stainless Steel 304,76.2,5.16,11.974,110.656,73.06,511203
Stainless Steel 304,101.6,5.74,9.001,123.378,59.75,566127
PVC,50.8,3.91,5.958,4.737,23.33,15035
Carbon Steel,203.2,7.04,2.986,101.096,36.31,127733
Galvanized Steel,38.1,1.65,2.964,4.424,16.92,9619
Carbon Steel,25.4,2.77,5.999,9.23,27.71,15686
Stainless Steel 304,25.4,3.38,3.024,5.773,23.38,30927
Stainless Steel 316,38.1,1.65,12.014,18.19,68.01,113246
Carbon Steel,50.8,3.91,9.047,41.124,43.42,56897
Stainless Steel 304,50.8,1.65,3.009,6.071,22.2,30323
Carbon Steel,38.1,1.65,6.0,8.959,27.49,15869
Copper,76.2,3.05,11.963,73.881,53.12,895967
HDPE,50.8,2.77,8.959,3.555,26.79,11581
PVC,25.4,2.77,9.036,2.442,28.66,9158
Stainless Steel 304,50.8,1.65,5.963,12.215,33.76,61336
PVC,25.4,1.65,9.044,1.574,25.48,7742
Carbon Steel,50.8,3.91,2.966,13.349,19.98,19840
Carbon Steel,25.4,1.65,6.015,5.835,25.88,11064
Copper,25.4,3.38,5.977,12.39,35.6,155375
Stainless Steel 316,25.4,1.65,2.999,2.975,21.23,20178
HDPE,50.8,1.65,5.96,1.458,17.93,5472
Stainless Steel 316,38.1,3.56,12.017,37.41,70.87,218478
Carbon Steel,76.2,2.11,6.013,23.576,27.98,32349
Carbon Steel,38.1,1.65,9.024,13.375,37.64,22348
Carbon Steel,38.1,2.77,8.979,21.745,39.11,33248
Copper,25.4,2.77,2.962,5.167,22.04,66552
PVC,50.8,2.77,5.954,3.502,20.89,12204
Galvanized Steel,25.4,1.65,9.025,8.727,38.5,19973
Carbon Steel,76.2,2.11,8.964,34.18,38.25,48268
Stainless Steel 316,38.1,3.56,8.998,28.028,55.96,163607
Carbon Steel,38.1,1.65,12.022,17.612,49.23,29075
Carbon Steel,38.1,1.65,3.039,4.484,14.85,8234
Stainless Steel 304,50.8,1.65,11.976,23.779,57.93,117494
Copper,101.6,3.05,2.987,25.25,26.95,308613
Stainless Steel 316,25.4,2.77,2.982,4.661,24.77,30555
Stainless Steel 316,38.1,3.56,5.991,18.646,41.53,110861
Copper,38.1,1.65,6.024,10.152,30.91,127525
Stainless Steel 316,25.4,1.65,5.964,5.841,35.13,38171
Carbon Steel,38.1,2.77,9.006,21.643,38.08,32714
Carbon Steel,38.1,2.77,11.951,28.912,51.22,43480
Carbon Steel,50.8,2.77,8.952,29.385,41.88,42363
Carbon Steel,101.6,5.74,12.041,160.726,62.46,204044
Carbon Steel,25.4,2.77,9.033,13.87,37.51,23831
HDPE,152.4,2.77,3.038,3.785,15.77,9595
Carbon Steel,50.8,3.91,8.999,40.998,42.55,56491
Stainless Steel 304,254.0,3.4,6.014,128.25,52.05,586541
Stainless Steel 304,25.4,2.77,12.032,18.886,59.88,95484
Carbon Steel,50.8,1.65,5.986,12.045,25.7,19205
Stainless Steel 316,101.6,3.05,12.0,91.556,67.69,516419
PVC,38.1,2.77,12.029,5.09,34.06,17405
Stainless Steel 316,38.1,3.56,11.952,36.707,70.3,214585
HDPE,76.2,2.11,9.028,4.224,28.45,12876
Copper,50.8,3.91,9.001,46.069,53.13,562833
